language,wals,metric,algorithm,value,run_id
KAYABÍ,kyz,del-verses,gzip,0.8130922287937818,4
KAYABÍ,kyz,del-verses,gzip,0.8099724900173211,5
KAYABÍ,kyz,del-verses,gzip,0.802675309426657,6
KAYABÍ,kyz,del-verses,gzip,0.8026170872410933,7
KAYABÍ,kyz,del-verses,gzip,0.8120442294536333,8
KAYABÍ,kyz,del-verses,gzip,0.8017000878184632,9
KAYAPÓ,kyp,del-verses,gzip,0.8085043794917051,0
KAYAPÓ,kyp,del-verses,gzip,0.801581384497563,1
KAYAPÓ,kyp,del-verses,gzip,0.8116843925769264,2
KAYAPÓ,kyp,del-verses,gzip,0.8076928928989852,3
KAYAPÓ,kyp,del-verses,gzip,0.8142557907176078,4
KAYAPÓ,kyp,del-verses,gzip,0.8077943287230751,5
KAYAPÓ,kyp,del-verses,gzip,0.8038281880011564,6
KAYAPÓ,kyp,del-verses,gzip,0.8067647551085617,7
KAYAPÓ,kyp,del-verses,gzip,0.8082710770962981,8
KAYAPÓ,kyp,del-verses,gzip,0.808899979205656,9
KUBEO,cub,del-verses,gzip,0.8143635411812759,0
KUBEO,cub,del-verses,gzip,0.8059702351161199,1
KUBEO,cub,del-verses,gzip,0.8105206841206013,2
KUBEO,cub,del-verses,gzip,0.8046470957090014,3
KUBEO,cub,del-verses,gzip,0.811930115228184,4
KUBEO,cub,del-verses,gzip,0.8005683746670579,5
KUBEO,cub,del-verses,gzip,0.8070575105419694,6
KUBEO,cub,del-verses,gzip,0.8116137123264817,7
KUBEO,cub,del-verses,gzip,0.8061888407572959,8
KUBEO,cub,del-verses,gzip,0.8141104188599141,9
MACUSHI,mac,del-verses,gzip,0.8078311629995509,0
MACUSHI,mac,del-verses,gzip,0.7971920371201916,1
MACUSHI,mac,del-verses,gzip,0.8040472983086364,2
MACUSHI,mac,del-verses,gzip,0.8005627900014968,3
MACUSHI,mac,del-verses,gzip,0.8057715910791797,4
MACUSHI,mac,del-verses,gzip,0.8000658584044305,5
MACUSHI,mac,del-verses,gzip,0.8038317617123185,6
MACUSHI,mac,del-verses,gzip,0.8012812453225565,7
MACUSHI,mac,del-verses,gzip,0.8045322556503517,8
MACUSHI,mac,del-verses,gzip,0.8056398742703188,9
MAKUNA,mcn,del-verses,gzip,0.8107042675879476,0
MAKUNA,mcn,del-verses,gzip,0.8085801570592315,1
MAKUNA,mcn,del-verses,gzip,0.8059312662822443,2
MAKUNA,mcn,del-verses,gzip,0.8092486271373862,3
MAKUNA,mcn,del-verses,gzip,0.8090424634684226,4
MAKUNA,mcn,del-verses,gzip,0.8078679552937208,5
MAKUNA,mcn,del-verses,gzip,0.801745519063892,6
MAKUNA,mcn,del-verses,gzip,0.8135968063373462,7
MAKUNA,mcn,del-verses,gzip,0.8126784409028719,8
MAKUNA,mcn,del-verses,gzip,0.8063560883879876,9
MATSÉS,myr,del-verses,gzip,0.8042984459959461,0
MATSÉS,myr,del-verses,gzip,0.8114475081239343,1
MATSÉS,myr,del-verses,gzip,0.8035198352691355,2
MATSÉS,myr,del-verses,gzip,0.8128631639908626,3
MATSÉS,myr,del-verses,gzip,0.807290627714681,4
MATSÉS,myr,del-verses,gzip,0.8087448923779801,5
MATSÉS,myr,del-verses,gzip,0.809838808275152,6
MATSÉS,myr,del-verses,gzip,0.8101798526430939,7
MATSÉS,myr,del-verses,gzip,0.8107589845886555,8
MATSÉS,myr,del-verses,gzip,0.7999613912036292,9
MAXAKALI,max,del-verses,gzip,0.8090330596283878,0
MAXAKALI,max,del-verses,gzip,0.8134850789656024,1
MAXAKALI,max,del-verses,gzip,0.8101719482960473,2
MAXAKALI,max,del-verses,gzip,0.8087065251152826,3
MAXAKALI,max,del-verses,gzip,0.8122346907081021,4
MAXAKALI,max,del-verses,gzip,0.8120913340925925,5
MAXAKALI,max,del-verses,gzip,0.8073605657807759,6
MAXAKALI,max,del-verses,gzip,0.8177300276359698,7
MAXAKALI,max,del-verses,gzip,0.8029244749563957,8
MAXAKALI,max,del-verses,gzip,0.8081171701404098,9
MUNDURUKÚ,muu,del-verses,gzip,0.8063508198425579,0
MUNDURUKÚ,muu,del-verses,gzip,0.8126519697591008,1
MUNDURUKÚ,muu,del-verses,gzip,0.8103244139237509,2
MUNDURUKÚ,muu,del-verses,gzip,0.8080315115251555,3
MUNDURUKÚ,muu,del-verses,gzip,0.8093714444129997,4
MUNDURUKÚ,muu,del-verses,gzip,0.8084531283390031,5
MUNDURUKÚ,muu,del-verses,gzip,0.8084069237566636,6
MUNDURUKÚ,muu,del-verses,gzip,0.8015166654152925,7
MUNDURUKÚ,muu,del-verses,gzip,0.8111560964058611,8
MUNDURUKÚ,muu,del-verses,gzip,0.8090480123366235,9
NADEB,nad,del-verses,gzip,0.808836199915784,0
NADEB,nad,del-verses,gzip,0.8064911087357886,1
NADEB,nad,del-verses,gzip,0.8106630389013053,2
NADEB,nad,del-verses,gzip,0.8059599002364526,3
NADEB,nad,del-verses,gzip,0.8058109027305412,4
NADEB,nad,del-verses,gzip,0.8068668415767823,5
NADEB,nad,del-verses,gzip,0.8061348103520876,6
NADEB,nad,del-verses,gzip,0.8105529103099796,7
NADEB,nad,del-verses,gzip,0.8077154795452337,8
NADEB,nad,del-verses,gzip,0.8116736306805299,9
NAMBIKUÁRA,nmb,del-verses,gzip,0.8119047838128801,0
NAMBIKUÁRA,nmb,del-verses,gzip,0.8117575612583848,1
NAMBIKUÁRA,nmb,del-verses,gzip,0.8046126666605324,2
NAMBIKUÁRA,nmb,del-verses,gzip,0.8067473937007149,3
NAMBIKUÁRA,nmb,del-verses,gzip,0.8047828927391676,4
NAMBIKUÁRA,nmb,del-verses,gzip,0.808987936951941,5
NAMBIKUÁRA,nmb,del-verses,gzip,0.8155715455607799,6
NAMBIKUÁRA,nmb,del-verses,gzip,0.8134690234543932,7
NAMBIKUÁRA,nmb,del-verses,gzip,0.8058916626027107,8
NAMBIKUÁRA,nmb,del-verses,gzip,0.8070326374000497,9
NHEENGATU,[yrl],del-verses,gzip,0.8073786626174005,0
NHEENGATU,[yrl],del-verses,gzip,0.8108186641171288,1
NHEENGATU,[yrl],del-verses,gzip,0.8045854188928256,2
NHEENGATU,[yrl],del-verses,gzip,0.806506945616107,3
NHEENGATU,[yrl],del-verses,gzip,0.8099188272125677,4
NHEENGATU,[yrl],del-verses,gzip,0.8082222597154266,5
NHEENGATU,[yrl],del-verses,gzip,0.8057008417224378,6
NHEENGATU,[yrl],del-verses,gzip,0.8091970830287011,7
NHEENGATU,[yrl],del-verses,gzip,0.8166207374913297,8
NHEENGATU,[yrl],del-verses,gzip,0.8146523442626024,9
PALIKÚR,plk,del-verses,gzip,0.8077047907176224,0
PALIKÚR,plk,del-verses,gzip,0.8133787715454788,1
PALIKÚR,plk,del-verses,gzip,0.8012078218636621,2
PALIKÚR,plk,del-verses,gzip,0.808156854562947,3
PALIKÚR,plk,del-verses,gzip,0.8066094052462589,4
PALIKÚR,plk,del-verses,gzip,0.8092464443439858,5
PALIKÚR,plk,del-verses,gzip,0.8109040117768428,6
PALIKÚR,plk,del-verses,gzip,0.8145437053007384,7
PALIKÚR,plk,del-verses,gzip,0.8091305305374923,8
PALIKÚR,plk,del-verses,gzip,0.8136627603713878,9
PARECÍS,pex,del-verses,gzip,0.8096800175734056,0
PARECÍS,pex,del-verses,gzip,0.8069048839423006,1
PARECÍS,pex,del-verses,gzip,0.8070147177271729,2
PARECÍS,pex,del-verses,gzip,0.8132166654462912,3
PARECÍS,pex,del-verses,gzip,0.8125210514754339,4
PARECÍS,pex,del-verses,gzip,0.807761587464304,5
PARECÍS,pex,del-verses,gzip,0.8100534524419711,6
PARECÍS,pex,del-verses,gzip,0.8095555392838837,7
PARECÍS,pex,del-verses,gzip,0.805784579336604,8
PARECÍS,pex,del-verses,gzip,0.8067145053818554,9
PAUMARÍ,pau,del-verses,gzip,0.8057047265908025,0
PAUMARÍ,pau,del-verses,gzip,0.8117621361292248,1
PAUMARÍ,pau,del-verses,gzip,0.809631121339982,2
PAUMARÍ,pau,del-verses,gzip,0.802929079827814,3
PAUMARÍ,pau,del-verses,gzip,0.802577462387589,4
PAUMARÍ,pau,del-verses,gzip,0.8077078804926906,5
PAUMARÍ,pau,del-verses,gzip,0.8058112773302647,6
PAUMARÍ,pau,del-verses,gzip,0.809721689468525,7
PAUMARÍ,pau,del-verses,gzip,0.8076865703447982,8
PAUMARÍ,pau,del-verses,gzip,0.81132527809743,9
