,,,,value,value
,,,,mean,var
Parecís,pex,$\mu_{\times}^{\mathbb{S}}(\mathscr{T})$,bz2,0.9347198,2.47e-06
Parecís,pex,$\mu_{\times}^{\mathbb{S}}(\mathscr{T})$,gzip,0.91711721,7e-07
Portuguese,por,$\mu_{\circ}^{\mathbb{M}}(\mathscr{T})$,bz2,0.89949412,4.4e-07
Portuguese,por,$\mu_{\circ}^{\mathbb{M}}(\mathscr{T})$,gzip,0.87030053,4.1e-07
Portuguese,por,$\mu_{\times}^{\mathbb{M}}(\mathscr{T})$,bz2,-1.29203435,4.4e-07
Portuguese,por,$\mu_{\times}^{\mathbb{M}}(\mathscr{T})$,gzip,-1.10697202,1.5e-07
Portuguese,por,$\mu_{\times}^{\mathbb{P}}(\mathscr{T})$,bz2,0.91200454,1.2e-06
Portuguese,por,$\mu_{\times}^{\mathbb{P}}(\mathscr{T})$,gzip,0.90558731,6.4e-07
Portuguese,por,$\mu_{\times}^{\mathbb{S}}(\mathscr{T})$,bz2,0.94053269,5.3e-07
Portuguese,por,$\mu_{\times}^{\mathbb{S}}(\mathscr{T})$,gzip,0.91854273,1.6e-07
Sateré-Mawé,[mav],$\mu_{\circ}^{\mathbb{M}}(\mathscr{T})$,bz2,0.82495562,1.11e-06
Sateré-Mawé,[mav],$\mu_{\circ}^{\mathbb{M}}(\mathscr{T})$,gzip,0.77407488,1.8e-07
Sateré-Mawé,[mav],$\mu_{\times}^{\mathbb{M}}(\mathscr{T})$,bz2,-1.4261092,5.7e-07
Sateré-Mawé,[mav],$\mu_{\times}^{\mathbb{M}}(\mathscr{T})$,gzip,-1.20183164,2e-07
Sateré-Mawé,[mav],$\mu_{\times}^{\mathbb{P}}(\mathscr{T})$,bz2,0.90127705,4.43e-06
Sateré-Mawé,[mav],$\mu_{\times}^{\mathbb{P}}(\mathscr{T})$,gzip,0.90361531,2.79e-06
Sateré-Mawé,[mav],$\mu_{\times}^{\mathbb{S}}(\mathscr{T})$,bz2,0.94026259,6e-07
Sateré-Mawé,[mav],$\mu_{\times}^{\mathbb{S}}(\mathscr{T})$,gzip,0.92614662,3.4e-07
Spanish,spa,$\mu_{\circ}^{\mathbb{M}}(\mathscr{T})$,bz2,0.89483607,1.54e-06
Spanish,spa,$\mu_{\circ}^{\mathbb{M}}(\mathscr{T})$,gzip,0.88770556,2.7e-07
Spanish,spa,$\mu_{\times}^{\mathbb{M}}(\mathscr{T})$,bz2,-1.30940534,5.7e-07
Spanish,spa,$\mu_{\times}^{\mathbb{M}}(\mathscr{T})$,gzip,-1.11027753,4.9e-07
Spanish,spa,$\mu_{\times}^{\mathbb{P}}(\mathscr{T})$,bz2,0.90324406,1.81e-06
Spanish,spa,$\mu_{\times}^{\mathbb{P}}(\mathscr{T})$,gzip,0.90360052,2.15e-06
Spanish,spa,$\mu_{\times}^{\mathbb{S}}(\mathscr{T})$,bz2,0.93922558,4.2e-07
Spanish,spa,$\mu_{\times}^{\mathbb{S}}(\mathscr{T})$,gzip,0.91704731,4.6e-07
Terêna,trn,$\mu_{\circ}^{\mathbb{M}}(\mathscr{T})$,bz2,0.94391238,1.8e-07
Terêna,trn,$\mu_{\circ}^{\mathbb{M}}(\mathscr{T})$,gzip,1.00613341,2.9e-07
Terêna,trn,$\mu_{\times}^{\mathbb{M}}(\mathscr{T})$,bz2,-1.44401724,4e-07
Terêna,trn,$\mu_{\times}^{\mathbb{M}}(\mathscr{T})$,gzip,-1.17805752,1.9e-07
Terêna,trn,$\mu_{\times}^{\mathbb{P}}(\mathscr{T})$,bz2,0.91276966,3.74e-06
Terêna,trn,$\mu_{\times}^{\mathbb{P}}(\mathscr{T})$,gzip,0.90492081,1.97e-06
